outlet_description	Наименование магазина
snapshot	Фотоснимок
noSnapshot	Нет фотоснимка
snapshotAttached	Снимок прикреплен
clickToInsert	Нажмите для ввода даты
itemAlreadyExist	Такая позиция уже есть в заказе. Продолжить редактирование? ("Нет" - не добавлять новую позицию к заказу)
NO		Нет
YES		Да
filter	Фильтр
clearFilter		Очистить фильтр?
groups	Группы
brands	Бренды
brand	Бренд
impossibleToCreateVisit		Невозможно создать плановый визит пока не записаны координаты. Повторить попытку получить координаты?
fillNoOrderReason	 Причина отсутствия заказа должна быть заполнена.
reasonForEmptyOrder	Причина отсутствия заказа
fillInVisitReason	Причина визита должна быть заполнена
visitReason	Причина визита
debt	Долг
orderInfo	ИНФОРМАЦИЯ О ЗАКАЗЕ
visitTotal	Итоги визита
synchronizationData	СИНХРОНИЗАЦИЯ ДАННЫХ
synchronizationPhoto	СИНХРОНИЗАЦИЯ ФОТОГРАФИЙ
lastSync	Последняя синхронизация
synchronize	Синхронизировать
vpVisits	визитов
vpPerformed	выполнено
further	еще
scheduled	запланировано
planned	плановых
vpUnplanned	внеплановых
amountOfOrdersForToday	сумма заказов на сегодня
programmingCollectionForToday	сумма инкассации за сегодня
accountsReceivables	дебиторская задолженность
unknown	Нет данных
list	Список
requestsForService	Заявки на обслуживание
planning	Планирование
remainsOfStock	Остатки на складе
applicationsForMaterials	Заявки на материалы
applicationForMaterials	Заявка на материалы
applications	Заявки
application	Заявка
all	Все
today	Cегодня
noApplicationToday	Нет заявок на сегодня
expected2	Ожидаемые
noPlans	Нет планов
planVisits	План визитов
passportObject	Паспорт объекта
movement	Перемещения
SendForReview	На рассмотрение
requestsS	Заявки на СО
requestForS	Заявкa на СО
nameOfObject	Наименование объекта
shipped	Отгруженные
upToTheLimits	До лимитов
skuUP	НОМЕНКЛАТУРА
del	Удалить
descriptions	ОПИСАНИЕ
photo	ФОТОГРАФИИ
photo2	Фото
text	Текст
materialList	СПИСОК МАТЕРИАЛОВ
more	...(еще)
taskBig	ЗАЯВКА
problemDescription	Описание проблемы:
startTask	Начать работу с заявкой?
Materials	Материалы
MaterialsListUP	СПИСОК МАТЕРИАЛОВ
jobs	Доп. работы
jobsListUp	СПИСОК РАБОТ
addFromGallery	Из галлереи
photograph	Снимок
photoReport	Фотоотчет
close	Закрыть
resume	Итоги
descriptionDw	Описание
tasksHistory	История заявок
startDate	Начало
finishDate	Окончание
news	Новости
reads	Прочитано
replenishStock	Пополнить
refillTheListOfMaterials	Перезаполнить список материалов?
incoming	Входящие
outgoing	Исходяшие
accept	Принять
refuse	Отказаться
at	в
